,name,rating,industry,headquarter,other_locations,highly_rated_for,critically_rated_for,reviews,salaries,interviews,jobs,benefits
0,TCS,3.4,IT Services & Consulting,Bangalore / Bengaluru,436,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.1L,9.6L,11.7k,2.8k,10.6k
1,Accenture,3.7,IT Services & Consulting,Bangalore / Bengaluru,254,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,70.4k,6.4L,9k,30.6k,6.7k
2,Wipro,3.6,IT Services & Consulting,Hyderabad / Secunderabad,370,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,62.5k,4.7L,6.5k,6.7k,4.6k
3,Cognizant,3.7,IT Services & Consulting,Hyderabad / Secunderabad,230,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,59.5k,5.9L,6.2k,849,5.5k
4,Capgemini,3.7,IT Services & Consulting,Bangalore / Bengaluru,183,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",51k,4.7L,5.3k,2.1k,3.6k
5,HDFC Bank,3.8,Banking,Mumbai,1811,"Job Security, Skill Development / Learning",Promotions / Appraisal,49.9k,1.5L,2.8k,208,3.2k
6,Infosys,3.5,IT Services & Consulting,Bangalore / Bengaluru,244,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",46.7k,5.1L,8.2k,3k,4.8k
7,ICICI Bank,4.0,Banking,Mumbai,1434,"Job Security, Promotions / Appraisal, Skill Development / Learning",,44.8k,1.5L,2.8k,32,3.7k
8,HCLTech,3.4,IT Services & Consulting,Chennai,226,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,44k,3.7L,4.4k,298,3.8k
9,Tech Mahindra,3.4,IT Services & Consulting,Hyderabad / Secunderabad,335,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,42k,2.8L,4.4k,443,3.4k
10,Genpact,3.6,IT Services & Consulting,Hyderabad / Secunderabad,182,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",40.3k,2.3L,3.7k,319,3.5k
11,Teleperformance,3.8,BPO,Mumbai,254,,,36.1k,95k,2.1k,1.1k,1.8k
12,Axis Bank,3.6,Banking,Mumbai,1492,"Promotions / Appraisal, Work Satisfaction, Company Culture",,31.9k,1.1L,1.8k,221,2.1k
13,Jio,4.3,Telecom,Mumbai,1851,"Job Security, Skill Development / Learning, Company Culture",,31.4k,62.2k,3.4k,3,2.5k
14,Concentrix Corporation,3.6,BPO,Bangalore / Bengaluru,176,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",31.2k,1.3L,1.9k,83,3.1k
15,Amazon,3.9,Internet,Bangalore / Bengaluru,520,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,30.4k,1.4L,5.7k,1.4k,4.1k
16,iEnergizer,4.6,BPO,Noida,51,"Company Culture, Work Life Balance, Work Satisfaction",,27.3k,23.8k,965,64,430
17,Reliance Retail,3.9,Retail,Mumbai,1145,"Skill Development / Learning, Work Life Balance, Job Security",Promotions / Appraisal,26.7k,74.3k,1.9k,28,1.9k
18,IBM,3.9,IT Services & Consulting,Bangalore / Bengaluru,160,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,25.1k,2.1L,2.6k,2.4k,2.6k
19,LTIMindtree,3.6,IT Services & Consulting,Bangalore / Bengaluru,145,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,25k,1.9L,3.2k,499,775
20,HDB Financial Services,3.9,NBFC,Mumbai,1083,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",24.9k,49.7k,1k,187,1.5k
21,Larsen & Toubro Limited,3.9,Engineering & Construction,Chennai,752,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance",23k,73.5k,1.7k,205,2.8k
